-5000 2.89 63.15 6.73 3.6
-4990 2.92 63.11 6.74 3.61
-4980 2.97 63.05 6.74 3.63
-4970 3.04 62.97 6.74 3.64
-4960 3.12 62.89 6.72 3.65
-4950 3.22 62.78 6.7 3.65
-4940 3.32 62.67 6.67 3.65
-4930 3.43 62.55 6.63 3.65
-4920 3.54 62.41 6.59 3.64
-4910 3.64 62.27 6.55 3.63
-4900 3.74 62.13 6.52 3.62
-4890 3.82 61.98 6.48 3.61
-4880 3.89 61.82 6.45 3.6
-4870 3.94 61.67 6.42 3.59
-4860 3.98 61.51 6.4 3.58
-4850 4 61.35 6.38 3.58
-4840 4 61.19 6.35 3.58
-4830 3.99 61.02 6.33 3.58
-4820 3.96 60.86 6.29 3.58
-4810 3.92 60.69 6.25 3.56
-4800 3.87 60.52 6.2 3.53
-4790 3.81 60.36 6.13 3.49
-4780 3.75 60.21 6.06 3.44
-4770 3.68 60.08 5.98 3.37
-4760 3.6 59.96 5.89 3.3
-4750 3.52 59.86 5.81 3.22
-4740 3.44 59.79 5.73 3.13
-4730 3.36 59.74 5.66 3.05
-4720 3.28 59.71 5.6 2.98
-4710 3.2 59.72 5.55 2.91
-4700 3.13 59.75 5.52 2.84
-4690 3.07 59.81 5.49 2.79
-4680 3.02 59.89 5.48 2.74
-4670 2.98 59.99 5.48 2.7
-4660 2.95 60.11 5.48 2.67
-4650 2.94 60.24 5.49 2.64
-4640 2.94 60.37 5.51 2.61
-4630 2.96 60.51 5.52 2.58
-4620 2.98 60.65 5.53 2.55
-4610 3 60.78 5.55 2.51
-4600 3.02 60.91 5.55 2.48
-4590 3.03 61.03 5.56 2.45
-4580 3.03 61.14 5.57 2.43
-4570 3.01 61.25 5.59 2.41
-4560 2.98 61.35 5.61 2.39
-4550 2.93 61.45 5.63 2.38
-4540 2.87 61.53 5.66 2.37
-4530 2.79 61.6 5.7 2.36
-4520 2.71 61.65 5.73 2.35
-4510 2.62 61.69 5.76 2.35
-4500 2.51 61.69 5.79 2.35
-4490 2.4 61.67 5.82 2.35
-4480 2.29 61.62 5.84 2.36
-4470 2.17 61.54 5.87 2.37
-4460 2.06 61.43 5.91 2.39
-4450 1.95 61.29 5.94 2.4
-4440 1.87 61.13 5.97 2.42
-4430 1.81 60.96 6 2.44
-4420 1.76 60.78 6.03 2.46
-4410 1.75 60.59 6.06 2.47
-4400 1.76 60.41 6.09 2.49
-4390 1.8 60.24 6.11 2.51
-4380 1.86 60.08 6.15 2.52
-4370 1.93 59.94 6.18 2.53
-4360 2.02 59.82 6.22 2.54
-4350 2.12 59.72 6.26 2.55
-4340 2.21 59.64 6.3 2.56
-4330 2.3 59.58 6.35 2.57
-4320 2.39 59.53 6.39 2.58
-4310 2.46 59.5 6.43 2.58
-4300 2.53 59.48 6.46 2.59
-4290 2.59 59.47 6.48 2.59
-4280 2.65 59.47 6.5 2.59
-4270 2.72 59.49 6.51 2.6
-4260 2.79 59.52 6.51 2.59
-4250 2.87 59.56 6.5 2.59
-4240 2.96 59.62 6.48 2.59
-4230 3.07 59.7 6.45 2.58
-4220 3.19 59.79 6.42 2.57
-4210 3.31 59.88 6.39 2.55
-4200 3.44 59.99 6.35 2.54
-4190 3.56 60.09 6.31 2.53
-4180 3.66 60.19 6.28 2.52
-4170 3.74 60.29 6.25 2.51
-4160 3.8 60.38 6.24 2.5
-4150 3.82 60.46 6.23 2.5
-4140 3.81 60.54 6.24 2.51
-4130 3.77 60.61 6.26 2.52
-4120 3.71 60.68 6.29 2.53
-4110 3.61 60.76 6.33 2.55
-4100 3.5 60.84 6.39 2.57
-4090 3.36 60.93 6.45 2.59
-4080 3.21 61.03 6.52 2.62
-4070 3.06 61.14 6.6 2.65
-4060 2.9 61.26 6.69 2.67
-4050 2.74 61.39 6.78 2.7
-4040 2.6 61.52 6.88 2.72
-4030 2.48 61.66 6.97 2.74
-4020 2.38 61.8 7.07 2.75
-4010 2.32 61.94 7.16 2.77
-4000 2.28 62.08 7.25 2.78
-3990 2.29 62.21 7.34 2.8
-3980 2.33 62.34 7.43 2.83
-3970 2.41 62.46 7.51 2.85
-3960 2.54 62.58 7.58 2.88
-3950 2.71 62.7 7.65 2.92
-3940 2.93 62.82 7.71 2.95
-3930 3.18 62.95 7.77 2.98
-3920 3.47 63.08 7.81 3.01
-3910 3.79 63.21 7.85 3.03
-3900 4.15 63.36 7.86 3.05
-3890 4.54 63.51 7.86 3.07
-3880 4.95 63.68 7.83 3.08
-3870 5.38 63.86 7.78 3.09
-3860 5.83 64.06 7.71 3.1
-3850 6.28 64.26 7.61 3.11
-3840 6.73 64.48 7.48 3.12
-3830 7.17 64.72 7.34 3.14
-3820 7.6 64.96 7.18 3.16
-3810 8.01 65.21 7.02 3.19
-3800 8.4 65.47 6.85 3.21
-3790 8.76 65.73 6.68 3.24
-3780 9.09 65.99 6.53 3.27
-3770 9.39 66.23 6.4 3.28
-3760 9.67 66.46 6.29 3.29
-3750 9.91 66.66 6.22 3.3
-3740 10.11 66.83 6.18 3.3
-3730 10.27 66.97 6.18 3.3
-3720 10.39 67.06 6.22 3.29
-3710 10.46 67.13 6.28 3.29
-3700 10.47 67.16 6.37 3.28
-3690 10.43 67.17 6.47 3.28
-3680 10.33 67.16 6.6 3.27
-3670 10.17 67.13 6.73 3.25
-3660 9.96 67.09 6.87 3.24
-3650 9.7 67.05 7.01 3.22
-3640 9.39 67 7.14 3.19
-3630 9.05 66.95 7.25 3.16
-3620 8.66 66.89 7.36 3.13
-3610 8.25 66.84 7.44 3.1
-3600 7.82 66.78 7.5 3.06
-3590 7.37 66.72 7.55 3.03
-3580 6.91 66.65 7.57 3
-3570 6.45 66.56 7.58 2.97
-3560 5.99 66.45 7.56 2.94
-3550 5.54 66.32 7.53 2.92
-3540 5.09 66.15 7.49 2.91
-3530 4.66 65.95 7.44 2.91
-3520 4.25 65.7 7.37 2.92
-3510 3.86 65.41 7.3 2.95
-3500 3.51 65.08 7.22 3
-3490 3.2 64.72 7.14 3.05
-3480 2.93 64.34 7.06 3.12
-3470 2.72 63.94 6.97 3.19
-3460 2.54 63.53 6.88 3.26
-3450 2.41 63.12 6.8 3.33
-3440 2.32 62.71 6.71 3.39
-3430 2.25 62.32 6.61 3.45
-3420 2.2 61.93 6.52 3.5
-3410 2.16 61.57 6.44 3.55
-3400 2.12 61.23 6.35 3.59
-3390 2.06 60.91 6.27 3.63
-3380 1.99 60.61 6.19 3.67
-3370 1.89 60.35 6.12 3.7
-3360 1.76 60.12 6.05 3.74
-3350 1.59 59.93 5.99 3.76
-3340 1.39 59.77 5.94 3.78
-3330 1.15 59.64 5.89 3.8
-3320 0.88 59.55 5.85 3.81
-3310 0.57 59.49 5.82 3.82
-3300 0.24 59.47 5.79 3.83
-3290 -0.11 59.47 5.77 3.83
-3280 -0.47 59.5 5.74 3.83
-3270 -0.85 59.56 5.72 3.82
-3260 -1.23 59.64 5.7 3.81
-3250 -1.62 59.74 5.68 3.8
-3240 -2.02 59.85 5.67 3.78
-3230 -2.43 59.98 5.65 3.75
-3220 -2.84 60.11 5.64 3.72
-3210 -3.26 60.24 5.63 3.68
-3200 -3.69 60.37 5.62 3.64
-3190 -4.13 60.5 5.61 3.59
-3180 -4.59 60.61 5.6 3.55
-3170 -5.06 60.71 5.6 3.5
-3160 -5.55 60.79 5.59 3.46
-3150 -6.06 60.86 5.59 3.42
-3140 -6.58 60.91 5.58 3.39
-3130 -7.11 60.95 5.58 3.36
-3120 -7.65 60.99 5.57 3.34
-3110 -8.19 61.02 5.55 3.32
-3100 -8.72 61.05 5.54 3.31
-3090 -9.23 61.1 5.54 3.29
-3080 -9.71 61.17 5.53 3.27
-3070 -10.15 61.27 5.53 3.26
-3060 -10.56 61.4 5.54 3.23
-3050 -10.92 61.56 5.56 3.21
